Time,Price
2015/2/18,236.3
2015/2/19,240.2
2015/2/20,244.5
2015/2/21,245.6
2015/2/22,236.5
2015/2/23,239.4
2015/2/24,239.7
2015/2/25,238
2015/2/26,236.9
2015/2/27,255
2015/2/28,255.7
2015/3/1,262.4
2015/3/2,277.3
2015/3/3,283.8
2015/3/4,273.3
2015/3/5,277.7
2015/3/6,273.2
2015/3/7,277
2015/3/8,275.6
2015/3/9,291
2015/3/10,292.7
2015/3/11,296.7
2015/3/12,295.6
2015/3/13,283.3
2015/3/14,282.6
2015/3/15,286.9
2015/3/16,291.2
2015/3/17,285.3
2015/3/18,257.3
2015/3/19,261.9
2015/3/20,262.2
2015/3/21,260.5
2015/3/22,268.8
2015/3/23,267.2
2015/3/24,246
2015/3/25,245.9
2015/3/26,249.2
2015/3/27,246.5
2015/3/28,252.9
2015/3/29,242.4
2015/3/30,247.9
2015/3/31,244.3
2015/4/1,246.9
2015/4/2,253.2
2015/4/3,254.2
2015/4/4,253.6
2015/4/5,260.5
2015/4/6,255.6
2015/4/7,253.7
2015/4/8,244.9
2015/4/9,243.6
2015/4/10,236.1
2015/4/11,236.9
2015/4/12,236.4
2015/4/13,225
2015/4/14,220.2
2015/4/15,224
2015/4/16,228.5
2015/4/17,222.4
2015/4/18,223.1
2015/4/19,222.2
2015/4/20,224.2
2015/4/21,235.8
2015/4/22,234.1
2015/4/23,236
2015/4/24,231.4
2015/4/25,226.1
2015/4/26,219.7
2015/4/27,227.7
2015/4/28,225.3
2015/4/29,225.2
2015/4/30,236.1
2015/5/1,231.8
2015/5/2,234.8
2015/5/3,240.7
2015/5/4,238.5
2015/5/5,235.9
2015/5/6,229.3
2015/5/7,237.3
2015/5/8,244.5
2015/5/9,242.5
2015/5/10,240.6
2015/5/11,242.5
2015/5/12,241.8
2015/5/13,235.8
2015/5/14,236.7
2015/5/15,237.3
2015/5/16,235.7
2015/5/17,236.2
2015/5/18,232.8
2015/5/19,231.7
2015/5/20,234.2
2015/5/21,235.3
2015/5/22,241
2015/5/23,238.8
2015/5/24,240.9
2015/5/25,237.1
2015/5/26,237.4
2015/5/27,236.9
2015/5/28,236.9
2015/5/29,236.5
2015/5/30,232.5
2015/5/31,228.7
2015/6/1,222
2015/6/2,224.7
2015/6/3,225.1
2015/6/4,223.2
2015/6/5,224.5
2015/6/6,225.6
2015/6/7,223.3
2015/6/8,228.8
2015/6/9,229.1
2015/6/10,228.6
2015/6/11,229.8
2015/6/12,229.4
2015/6/13,232.9
2015/6/14,233.5
2015/6/15,237
2015/6/16,252.1
2015/6/17,248.9
2015/6/18,249.5
2015/6/19,244.6
2015/6/20,245.4
2015/6/21,244.3
2015/6/22,246.7
2015/6/23,244.3
2015/6/24,239.8
2015/6/25,242.1
2015/6/26,243.3
2015/6/27,251.6
2015/6/28,248.7
2015/6/29,256.7
2015/6/30,262.9
2015/7/1,258.1
2015/7/2,254.5
2015/7/3,256
2015/7/4,260.6
2015/7/5,265.2
2015/7/6,274.8
2015/7/7,265.5
2015/7/8,270.8
2015/7/9,269.2
2015/7/10,286.7
2015/7/12,311.1
2015/7/13,292.6
2015/7/14,286.9
2015/7/15,285.4
2015/7/16,278.9
2015/7/17,279.9
2015/7/18,277.3
2015/7/19,275
2015/7/20,280.3
2015/7/21,275.8
2015/7/22,278
2015/7/23,276.5
2015/7/24,288.6
2015/7/25,289.4
2015/7/26,293
2015/7/27,294.8
2015/7/28,295.2
2015/7/29,289.9
2015/7/30,288.2
2015/7/31,284.5
2015/8/1,280.3
2015/8/2,282.5
2015/8/3,281.3
2015/8/4,285.5
2015/8/5,282.6
2015/8/6,279.1
2015/8/7,280.1
2015/8/8,261.3
2015/8/9,265.6
2015/8/10,265.1
2015/8/11,272
2015/8/12,267.1
2015/8/13,264.5
2015/8/14,266.1
2015/8/15,262.1
2015/8/16,259.9
2015/8/17,258.5
2015/8/18,183
2015/8/19,226.2
2015/8/20,235.5
2015/8/21,232.2
2015/8/22,230.3
2015/8/23,228.5
2015/8/24,210.5
2015/8/25,222.7
2015/8/26,226.2
2015/8/27,225.8
2015/8/28,231.8
2015/8/29,230.8
2015/8/30,230
2015/8/31,231.4
2015/9/1,228.2
2015/9/2,229.7
2015/9/3,227.3
2015/9/4,230.9
2015/9/5,235.8
2015/9/6,241
2015/9/7,240.9
2015/9/8,244.2
2015/9/9,238.9
2015/9/10,239.5
2015/9/11,240.6
2015/9/12,235.8
2015/9/13,231
2015/9/14,230.9
2015/9/15,230.9
2015/9/16,229
2015/9/17,233.6
2015/9/18,233.8
